step Ashen BareBones Cartoon Chibli
5900 0.10962455 0.03286754 0.14447929 0.10645632
5950 0.08108075 0.05335864 0.13646064 0.07393318
6000 0.10854599 0.04006691 0.12040876 0.08391167
6050 0.09891154 0.04979011 0.10360745 0.02926297
6100 0.09274672 0.05659144 0.12078168 0.10009459
6150 0.11224038 0.04273541 0.15292862 0.08162002
6200 0.13296872 0.05646182 0.16491923 0.06975056
6250 0.10474630 0.03175387 0.13220483 0.07881845
6300 0.09999813 0.04755900 0.11602735 0.06260979
6350 0.13914323 0.04612367 0.20618124 0.07528991
6400 0.06338292 0.02509778 0.12776494 0.07980951
6450 0.11325626 0.05287415 0.11851409 0.08021586
6500 0.10150381 0.03741194 0.10157873 0.09715815
6550 0.08956152 0.05014950 0.12767779 0.06706208
6600 0.09506261 0.05473443 0.12061426 0.10278857
6650 0.09584718 0.04188746 0.13744093 0.07465350
6700 0.10532896 0.05167155 0.20293500 0.06506705
6750 0.09235382 0.02750844 0.11968548 0.06079055
6800 0.06809248 0.04497379 0.10924511 0.07991731
6850 0.10217648 0.04344545 0.22105194 0.06823534
6900 0.06368270 0.02193154 0.10476038 0.05442010
6950 0.10639581 0.04866831 0.15295194 0.03568886
7000 0.07133702 0.03680082 0.10774890 0.09161753
7050 0.06799942 0.04282026 0.08941863 0.08198970
7100 0.08266974 0.05046119 0.14934480 0.09495900
7150 0.07743223 0.03505647 0.10073336 0.08790275
7200 0.10154497 0.04911974 0.13207503 0.05765661
7250 0.08333625 0.02550529 0.12390775 0.05855475
7300 0.08054214 0.04052572 0.07675447 0.06791398
7350 0.11082066 0.04296095 0.14939962 0.05738442
7400 0.06201231 0.02096027 0.07393906 0.07562738
7450 0.07553202 0.04775542 0.12057687 0.06037641
7500 0.08192073 0.03508096 0.08978357 0.08482661
7550 0.06793485 0.04085574 0.09219551 0.03666834
7600 0.07691952 0.04880661 0.16209608 0.08686121
7650 0.08949232 0.03118618 0.10786669 0.07357518
7700 0.11249699 0.04563054 0.13959275 0.03946115
7750 0.06065373 0.02500485 0.09309825 0.07286647
7800 0.07813652 0.04106050 0.08770174 0.05308919
7850 0.06791702 0.03639153 0.12274042 0.06328209
7900 0.06615469 0.01955041 0.08879238 0.08798783
7950 0.06934784 0.04507353 0.11836782 0.03981373
8000 0.08134837 0.03225754 0.09434791 0.09147489
8050 0.06664344 0.03901816 0.08041677 0.06148730
8100 0.06242441 0.04671971 0.11244613 0.06369342
8150 0.07286175 0.02844317 0.08458998 0.06963152
8200 0.07853408 0.04327077 0.11580332 0.06404034
8250 0.08107335 0.02314375 0.12887042 0.06276104
8300 0.04635865 0.03879614 0.08545495 0.04098429
8350 0.12173484 0.03531096 0.18160178 0.06499441
8400 0.04860399 0.01900299 0.09892282 0.06923497
8450 0.07148780 0.04413376 0.09495641 0.06759507
8500 0.05610221 0.03050921 0.08386199 0.07866281
8550 0.05733202 0.03856783 0.07316391 0.05206535
8600 0.05942896 0.04430972 0.10256410 0.08367505
8650 0.07686185 0.02600425 0.09809275 0.09094683
