step total noise recon gradient content
4850 0.06012026 0.00763903 0.06532375 0.08039731 0.30971849
4900 0.05870252 0.00809295 0.06394513 0.07589666 0.30207747
4950 0.05737292 0.00787518 0.06127060 0.07307039 0.27880394
5000 0.05545159 0.00696268 0.05822572 0.07096358 0.26864391
5050 0.05466332 0.00695173 0.05868411 0.07315262 0.27388896
5100 0.05661357 0.00706443 0.06157174 0.07547521 0.28230019
5150 0.05658923 0.00692244 0.06174834 0.07378314 0.29196761
5200 0.05509040 0.00696145 0.06228816 0.07322856 0.29691515
5250 0.05359617 0.00628466 0.06109558 0.07051157 0.28764512
5300 0.05403959 0.00591004 0.06129079 0.07085402 0.27779648
5350 0.05448979 0.00631851 0.06072403 0.07152391 0.28709178
5400 0.05431995 0.00679670 0.05983055 0.07205506 0.28674283
5450 0.05339401 0.00672789 0.05831231 0.06823742 0.26804560
5500 0.05087783 0.00589749 0.05451003 0.06386337 0.25713488
5550 0.05111582 0.00596344 0.05618714 0.06652440 0.26671185
5600 0.05317882 0.00615230 0.05906587 0.06840015 0.27482588
5650 0.05306577 0.00591226 0.05845217 0.06968215 0.28309389
5700 0.05159348 0.00584815 0.05939383 0.06979771 0.28538127
5750 0.05082267 0.00540469 0.05972914 0.06561914 0.27838129
5800 0.05162855 0.00515894 0.05998184 0.06587990 0.26824312
5850 0.05248972 0.00550428 0.06008121 0.06843739 0.28349459
5900 0.05117427 0.00584333 0.05880450 0.06493116 0.27794948
5950 0.04924520 0.00567817 0.05609145 0.06042312 0.25064326
6000 0.04758612 0.00512202 0.05227587 0.05851152 0.24489121
6050 0.04746372 0.00523565 0.05326778 0.06059034 0.25110347
6100 0.04854974 0.00519607 0.05499988 0.06292161 0.25607749
6150 0.04830108 0.00493046 0.05419181 0.06312600 0.26544593
6200 0.04714136 0.00489797 0.05578744 0.06245447 0.26779314
6250 0.04721341 0.00453707 0.05707218 0.06062591 0.26603686
6300 0.04783770 0.00432373 0.05621744 0.06266551 0.25574551
6350 0.04771823 0.00460507 0.05493297 0.06300897 0.26337678
6400 0.04737926 0.00501511 0.05453324 0.06026255 0.26334240
6450 0.04646638 0.00491751 0.05298081 0.05767914 0.24624526
6500 0.04426525 0.00424161 0.04954462 0.05440501 0.23486480
6550 0.04420884 0.00429589 0.05059383 0.05682711 0.23945032
6600 0.04542699 0.00434930 0.05237789 0.05985116 0.24324659
6650 0.04494339 0.00414389 0.05207704 0.05978427 0.25088093
6700 0.04414212 0.00411669 0.05374476 0.05976357 0.25617154
6750 0.04348484 0.00376439 0.05333100 0.05679033 0.25006938
6800 0.04410168 0.00364795 0.05295653 0.05750388 0.24107894
6850 0.04450834 0.00390368 0.05178370 0.05930081 0.25008676
6900 0.04319005 0.00404152 0.04996024 0.05727831 0.24444934
6950 0.04231413 0.00397138 0.04874304 0.05412954 0.22981947
7000 0.04131775 0.00361081 0.04652777 0.05138638 0.22319274
7050 0.04170652 0.00368808 0.04832394 0.05424008 0.23038160
7100 0.04204806 0.00365014 0.04898981 0.05555836 0.23049587
7150 0.04100685 0.00343865 0.04712864 0.05489136 0.23355058
7200 0.04055504 0.00339570 0.04863057 0.05682638 0.24166866
7250 0.04050169 0.00311089 0.04969288 0.05454807 0.23986337
7300 0.04111673 0.00300183 0.04959387 0.05517462 0.23115951
7350 0.04119273 0.00318691 0.04820098 0.05630188 0.23760491
7400 0.04020860 0.00336194 0.04678212 0.05400598 0.23396546
7450 0.03965600 0.00339684 0.04588315 0.05048240 0.21954041
7500 0.03893682 0.00310545 0.04375299 0.04876389 0.21321084
7550 0.03918854 0.00312355 0.04466685 0.05273433 0.21874889
7600 0.03995828 0.00315589 0.04653363 0.05323804 0.21993990
7650 0.03898461 0.00301784 0.04487939 0.05282685 0.22491430
7700 0.03795988 0.00296571 0.04568837 0.05388327 0.23328874
7750 0.03806297 0.00269153 0.04689784 0.05245749 0.23039585
7800 0.03895201 0.00261281 0.04679561 0.05298871 0.22199890
7850 0.03891971 0.00280067 0.04574837 0.05166308 0.23001342
7900 0.03756123 0.00289969 0.04399904 0.05017748 0.22533625
7950 0.03730668 0.00290735 0.04327155 0.04862730 0.21480200
8000 0.03646323 0.00263762 0.04101991 0.04676631 0.20743623
8050 0.03596514 0.00263792 0.04088420 0.04850946 0.20640481
8100 0.03658739 0.00269240 0.04210669 0.04928825 0.20828527
8150 0.03664569 0.00264901 0.04143348 0.05049292 0.21785699
8200 0.03592466 0.00260524 0.04245422 0.05155044 0.22401995
8250 0.03574172 0.00233155 0.04365205 0.05044910 0.22033207
8300 0.03675122 0.00228802 0.04394091 0.05131059 0.21087458
8350 0.03685056 0.00245035 0.04279245 0.05013929 0.21967010
8400 0.03567558 0.00252820 0.04119835 0.04856307 0.21727333
8450 0.03512301 0.00254856 0.04040171 0.04694529 0.20607619
8500 0.03430379 0.00234248 0.03832794 0.04457314 0.19940503
8550 0.03422208 0.00234604 0.03907570 0.04654984 0.19779309
8600 0.03494589 0.00239882 0.04081799 0.04747819 0.20013886
8650 0.03445247 0.00234043 0.03916469 0.04744303 0.20826625
8700 0.03381019 0.00231050 0.03994441 0.04859093 0.21433829
8750 0.03400572 0.00208790 0.04137787 0.04881614 0.21335885
8800 0.03481053 0.00205994 0.04137878 0.04897044 0.20401684
8850 0.03492610 0.00221847 0.04046498 0.04715676 0.21043322
