step loss noise_loss recon_loss gradient_loss content_loss
1 1.80367073 1.30461609 0.33789392 0.94773944 3.47547293
50 0.60507302 0.22495677 0.19736367 0.53583662 2.03608048
100 0.43299443 0.16886694 0.15828310 0.38480056 1.68293905
150 0.30968167 0.10496858 0.21135173 0.45390408 1.94367796
200 0.36447965 0.09797813 0.24724773 0.48313306 2.16713047
250 0.27899648 0.06871295 0.24102179 0.52048673 2.13532895
300 0.31214007 0.06477643 0.14732755 0.33958719 1.40146847
350 0.32506064 0.07911444 0.19164988 0.33651304 1.66297629
400 0.26416327 0.05009105 0.18535448 0.37129293 1.52406988
450 0.29080913 0.07845003 0.18605806 0.29008884 1.70307499
500 0.27631976 0.08056334 0.18242653 0.37046576 1.58071090
550 0.20232915 0.03828625 0.15256210 0.27922731 1.00994435
600 0.28721126 0.07458144 0.10317719 0.19375773 1.10079291
650 0.29380432 0.07802518 0.14016717 0.27996202 1.28685018
700 0.20783001 0.06425049 0.10984697 0.19191308 0.82971304
750 0.26023619 0.07126950 0.19225594 0.35252135 1.37058665
800 0.20513874 0.04483452 0.19379162 0.31153367 1.73287782
850 0.24812865 0.08423219 0.13910653 0.22214369 1.09626071
900 0.15085593 0.03823107 0.14868632 0.21931248 1.03257561
950 0.23136793 0.05475475 0.09923143 0.20185242 0.83781826
1000 0.23484842 0.03795408 0.12076555 0.25537556 1.05389898
1050 0.20353637 0.03050555 0.15798909 0.22077899 1.19293530
1100 0.23426338 0.06237524 0.09174652 0.18980824 0.87606178
1150 0.22487546 0.05395519 0.14087891 0.21318511 1.20447719
1200 0.28305688 0.07454486 0.10123540 0.18621878 1.04114351
1250 0.20595680 0.02918439 0.16660239 0.28412446 1.46202293
1300 0.15940580 0.02665394 0.14618204 0.22546779 1.19462290
1350 0.25261707 0.04540167 0.13750546 0.27551981 1.08465645
1400 0.18834081 0.04176829 0.15937692 0.17810054 1.13784046
1450 0.21987214 0.04619783 0.09755445 0.17161852 0.87589674
1500 0.24512494 0.03781817 0.11767388 0.21939076 1.10757191
1550 0.20416502 0.03286169 0.14232618 0.19809526 1.07019350
1600 0.18375652 0.03661891 0.09265975 0.19585473 0.76617777
1650 0.17676079 0.03412782 0.11026356 0.19496921 0.81761001
1700 0.22537126 0.06642428 0.07851651 0.14480423 0.76757607
1750 0.18608572 0.03320925 0.14240088 0.24159630 1.16277166
1800 0.16791623 0.02039091 0.15690955 0.25104519 1.26841769
1850 0.17101915 0.06433091 0.09615913 0.15863521 0.68634770
1900 0.19741353 0.04235320 0.11140727 0.24062137 1.15704802
1950 0.15833898 0.03522397 0.07955426 0.13350580 0.79585990
2000 0.18667919 0.01942644 0.08800265 0.16546163 0.87827548
2050 0.18123056 0.02035861 0.14121631 0.23932122 1.02036050
2100 0.20756951 0.03548770 0.08128299 0.13869314 0.96273109
2150 0.18423244 0.04654489 0.10883912 0.17167439 0.83071876
2200 0.21661391 0.06584979 0.07757451 0.15443900 0.72016466
