step loss noise_loss recon_loss gradient_loss content_loss
1 1.99190319 1.39460388 0.38817450 0.99076103 3.80726039
50 0.37871839 0.12949726 0.23540034 0.60380559 2.21785182
100 0.46165377 0.15257535 0.22892707 0.52319966 2.30862993
150 0.42878715 0.11988795 0.18836412 0.31382234 1.56897965
200 0.30671079 0.08814496 0.22070099 0.42736043 2.05897954
250 0.26730480 0.05594264 0.11637175 0.27957721 1.31673460
300 0.37521937 0.08566602 0.14641878 0.25961229 1.58745012
350 0.24080664 0.04866880 0.17485627 0.37196707 1.65462410
400 0.34067583 0.07333024 0.11616371 0.27022653 1.32038094
450 0.25474398 0.04248215 0.16585188 0.33610138 1.53031310
500 0.34799606 0.09662130 0.16112744 0.35154790 1.75530243
550 0.14634088 0.03250245 0.13091577 0.27587951 1.01740973
600 0.28293310 0.04475717 0.16477474 0.34633641 1.71866459
650 0.24211808 0.04491949 0.15277963 0.28261627 1.41946337
700 0.17931106 0.01832837 0.15246752 0.32569886 1.55589667
750 0.25252779 0.05655247 0.11693319 0.19265252 1.14960243
800 0.19379699 0.04172628 0.16026425 0.29267095 1.30322625
850 0.21103226 0.02523334 0.08848456 0.20774075 1.05219989
900 0.24464749 0.04031636 0.12211414 0.31260777 1.35173565
950 0.19197315 0.02770301 0.13061541 0.22609694 1.47558111
1000 0.19886224 0.04957318 0.14139733 0.19361644 1.44060403
1050 0.17272473 0.02927575 0.09631935 0.21439668 1.11392489
1100 0.23066118 0.03540296 0.12554525 0.18818850 1.33838078
1150 0.18949973 0.02942626 0.11965074 0.24372239 1.03635582
1200 0.14522834 0.01086768 0.12669484 0.25312908 1.22907454
1250 0.16474697 0.02526047 0.10368188 0.17502194 0.81359887
1300 0.18147968 0.02330746 0.13405725 0.27240747 1.46362764
1350 0.17393720 0.02024101 0.07459745 0.15629601 0.81920053
1400 0.18476213 0.04020082 0.11010623 0.20901428 0.92007320
1450 0.12187352 0.02935506 0.14539585 0.28103353 1.41306096
1500 0.19557928 0.04723801 0.16359018 0.29481605 1.39413166
1550 0.18175712 0.02100298 0.09572620 0.20517477 1.12007165
1600 0.15932945 0.01608167 0.10056083 0.19028341 1.13872206
1650 0.17889639 0.02714940 0.12779232 0.23157398 1.06557663
1700 0.14265754 0.01497848 0.11704035 0.24793623 1.06455237
1750 0.15099948 0.01439892 0.08942145 0.19741286 0.73491906
1800 0.13686775 0.01793420 0.10936433 0.18650631 1.10463236
1850 0.14483465 0.01612547 0.06441958 0.15796377 0.68441356
1900 0.17654199 0.04018384 0.08812631 0.17176238 0.89638424
1950 0.14250312 0.02193139 0.11961007 0.21802457 0.86631881
2000 0.16948249 0.03853065 0.13926437 0.25526877 1.24858381
2050 0.10786046 0.01480046 0.08908798 0.15594871 0.57588092
2100 0.14778913 0.01301759 0.09619566 0.16137285 0.98508139
2150 0.15679854 0.01695856 0.10143784 0.17995279 1.00192320
2200 0.11102594 0.00814430 0.09961725 0.17859556 0.86905256
2250 0.15405631 0.01734248 0.07429280 0.14484374 0.85099356
2300 0.12669450 0.01761059 0.11099866 0.15106117 1.03239411
2350 0.12350963 0.01153553 0.05564896 0.11152573 0.60650629
2400 0.15714527 0.02381621 0.07584131 0.13876184 0.99277674
2450 0.09589956 0.01205936 0.11003262 0.16820651 0.72039597
2500 0.14748790 0.02102104 0.13708064 0.17178609 1.22420591
2550 0.11397851 0.00752435 0.07224563 0.14177364 0.73174918
2600 0.11491054 0.01128472 0.07890965 0.14803256 0.79419035
2650 0.12876181 0.01084955 0.08605799 0.17633091 0.83426157
2700 0.11465627 0.00556681 0.10252399 0.18043033 1.17385136
2750 0.13482768 0.02057868 0.04874505 0.11369392 0.64665319
2800 0.09744237 0.00903416 0.10755990 0.15266083 0.83987605
2850 0.11481650 0.00778109 0.04903442 0.09875220 0.57920594
2900 0.10989686 0.01123754 0.06241326 0.11813651 0.89000866
2950 0.11468792 0.00884135 0.11131693 0.22406223 1.00322390
3000 0.14779004 0.02025894 0.14361960 0.24068938 1.25077583
3050 0.09012538 0.00561377 0.06909060 0.13259546 0.67373777
3100 0.13403132 0.00794773 0.09111995 0.15885906 1.00895320
3150 0.15245423 0.00973008 0.08981285 0.16390269 1.07779524
3200 0.12090678 0.00509394 0.09941732 0.18016425 1.04653889
3250 0.08667870 0.00688035 0.05000050 0.10554986 0.47633496
3300 0.09156287 0.00676300 0.10093220 0.13885754 0.82709257
3350 0.14383799 0.00703545 0.04915169 0.08852925 0.91191155
3400 0.09840098 0.01588912 0.06167093 0.12249618 0.80160044
3450 0.09201537 0.00862574 0.09214371 0.11956217 0.75235836
3500 0.15211609 0.01898417 0.14201944 0.24407893 1.19100584
3550 0.08983085 0.00548310 0.06790630 0.11899478 0.58797829
3600 0.11126728 0.00673990 0.07678629 0.14763425 0.83017108
3650 0.13413026 0.00816833 0.07604669 0.10780241 0.93035966
3700 0.07982137 0.00394109 0.08200579 0.12897738 0.72642811
3750 0.06239299 0.00666257 0.03516198 0.06740887 0.30123378
3800 0.09350126 0.00575251 0.07537792 0.12539987 0.83725968
3850 0.09692772 0.00521909 0.04135696 0.07077840 0.60584689
3900 0.10472462 0.01440028 0.05727312 0.11404808 0.58952254
3950 0.12013101 0.01045693 0.09706524 0.14232267 1.05776247
4000 0.10129175 0.01391494 0.12275662 0.22424841 1.12294954
4050 0.10639190 0.00582946 0.06911170 0.10740199 0.76648870
4100 0.08784160 0.00692710 0.06875308 0.10045042 0.56808603
4150 0.07262936 0.00636665 0.09181497 0.12365776 0.75481645
4200 0.06668257 0.00405755 0.07496457 0.12134706 0.62253886
4250 0.09108959 0.00546359 0.05086394 0.08289336 0.49090745
4300 0.06312022 0.00256732 0.07334530 0.14711782 0.63996359
4350 0.07249970 0.00441024 0.03901826 0.06687010 0.31991091
4400 0.11385610 0.01663302 0.05519826 0.13253003 0.62475249
4450 0.08368468 0.00767277 0.08231382 0.13026233 0.84334078
4500 0.09993428 0.01155736 0.10176984 0.15371859 1.07555588
4550 0.11949112 0.00495478 0.05894102 0.10126643 0.95887093
4600 0.08184136 0.00570219 0.07181369 0.08842854 0.55878995
4650 0.08903440 0.00808229 0.08511093 0.08599072 0.71133344
4700 0.06962569 0.00319349 0.07119392 0.12058393 0.79470398
4750 0.12066578 0.00696486 0.05783036 0.08470164 0.59725903
4800 0.08530658 0.00427907 0.06899291 0.13745343 0.69490230
4850 0.08516703 0.00633430 0.04208864 0.07315404 0.45286433
4900 0.07982288 0.00856131 0.04156019 0.08669146 0.52560315
4950 0.07812098 0.00508598 0.08857932 0.09419189 0.64530199
5000 0.06762374 0.00723191 0.10819552 0.14548568 0.83628759
5050 0.10358086 0.00334920 0.04110323 0.07964452 0.90846410
5100 0.06757488 0.00463962 0.04832079 0.09356484 0.52639150
5150 0.11397811 0.00547997 0.08498823 0.11473685 0.88716182
5200 0.10388882 0.00263731 0.07296502 0.10019739 0.98708142
5250 0.08936705 0.00523888 0.06031750 0.07778492 0.51018091
5300 0.08507122 0.00341584 0.08076669 0.10105642 0.80389461
5350 0.07827882 0.00432688 0.03631707 0.05884873 0.40572643
5400 0.09626659 0.01419568 0.04771676 0.08796442 0.61823539
5450 0.08475099 0.00314996 0.08029273 0.08509549 0.94531013
5500 0.09138274 0.01002157 0.09220567 0.10246841 0.67494639
5550 0.05905197 0.00303535 0.05236200 0.07725738 0.40679343
5600 0.12058628 0.00333602 0.06367814 0.10604492 1.01815285
5650 0.11638282 0.00380703 0.07524743 0.14946305 0.95729531
5700 0.07413892 0.00207078 0.05861112 0.07840105 0.74491955
5750 0.09223824 0.00471144 0.05603676 0.06356378 0.58306435
5800 0.04786213 0.00245774 0.05822525 0.08881083 0.34467503
5850 0.09244350 0.00301287 0.03564134 0.05397230 0.56534702
5900 0.10645632 0.00504329 0.04758899 0.10847559 0.76486312
5950 0.07393318 0.00441100 0.07330416 0.09522511 0.76625329
6000 0.08391167 0.00681678 0.11183370 0.14204442 0.81916738
6050 0.02926297 0.00163753 0.04667091 0.07663343 0.26523609
6100 0.10009459 0.00409571 0.08242472 0.09259729 0.82171734
6150 0.08162002 0.00563146 0.04766053 0.06768225 0.55797150
6200 0.06975056 0.00171342 0.07568938 0.09308235 0.86946301
6250 0.07881845 0.00390955 0.04709690 0.06146857 0.47664534
6300 0.06260979 0.00228924 0.05369562 0.10585456 0.58741980
6350 0.07528991 0.00240355 0.03084865 0.05517811 0.46366078
6400 0.07980951 0.00355140 0.04070464 0.07192331 0.57482290
6450 0.08021586 0.00278433 0.06828555 0.08792663 0.68621206
6500 0.09715815 0.00688958 0.09867235 0.10632597 0.90311939
6550 0.06706208 0.00187066 0.03377055 0.06552948 0.59379841
6600 0.10278857 0.00285849 0.05604509 0.05973111 0.80426288
6650 0.07465350 0.00467016 0.05140096 0.06605550 0.50375884
6700 0.06506705 0.00136182 0.05657647 0.08304143 0.59570649
6750 0.06079055 0.00393408 0.04102704 0.05520962 0.37199946
6800 0.07991731 0.00179559 0.05147579 0.08171946 0.85612606
6850 0.06823534 0.00242006 0.02790731 0.05061409 0.38723777
6900 0.05442010 0.00401911 0.03574415 0.06394549 0.33802524
6950 0.03568886 0.00317358 0.06962816 0.07854061 0.63264951
7000 0.09161753 0.00549041 0.10123397 0.13459346 0.84835243
7050 0.08198970 0.00149812 0.03822527 0.06283349 0.61992044
7100 0.09495900 0.00148997 0.05957027 0.07113247 0.83756633
7150 0.08790275 0.00386054 0.06566253 0.07358717 0.64532231
7200 0.05765661 0.00134202 0.06578160 0.07530336 0.51290455
7250 0.05855475 0.00201217 0.03529445 0.05457298 0.35583829
7300 0.06791398 0.00174618 0.05360128 0.08018662 0.67332849
7350 0.05738442 0.00171650 0.02503881 0.04633450 0.34096862
7400 0.07562738 0.00699464 0.03064752 0.06717359 0.51647700
7450 0.06037641 0.00253016 0.06269101 0.08443962 0.44287728
7500 0.08482661 0.00459843 0.09865403 0.10453771 0.79714087
7550 0.03666834 0.00154690 0.03481038 0.06364499 0.19607611
7600 0.08686121 0.00167079 0.05701124 0.06307969 0.67424747
7650 0.07357518 0.00212264 0.05569266 0.04756421 0.56175757
7700 0.03946115 0.00116435 0.05205094 0.06001979 0.41081655
7750 0.07286647 0.00160957 0.03261530 0.05576877 0.51814736
7800 0.05308919 0.00131897 0.04023157 0.07541135 0.53478417
7850 0.06328209 0.00143450 0.02183669 0.04102910 0.38947598
7900 0.08798783 0.00316784 0.03492810 0.06005303 0.69302421
7950 0.03981373 0.00161285 0.05979699 0.06288524 0.40598485
8000 0.09147489 0.00252547 0.08534102 0.11659908 0.88871270
8050 0.06148730 0.00093880 0.02874658 0.05680940 0.44099944
8100 0.06369342 0.00200300 0.04790124 0.05315915 0.52985243
8150 0.06963152 0.00194772 0.05519885 0.06670705 0.50500214
8200 0.06404034 0.00135779 0.03749042 0.05892073 0.75365493
8250 0.06276104 0.00173427 0.01802114 0.03513793 0.41430966
8300 0.04098429 0.00128193 0.03620481 0.06536250 0.39857499
8350 0.06499441 0.00131717 0.02151056 0.03785741 0.40686473
8400 0.06923497 0.00203965 0.03046288 0.05549145 0.68417189
8450 0.06759507 0.00141997 0.06117416 0.10777434 0.63527992
8500 0.07866281 0.00281041 0.08418086 0.13508507 0.79566133
8550 0.05206535 0.00074504 0.02670333 0.06751537 0.44338840
8600 0.08367505 0.00140104 0.04542717 0.05793621 0.70583774
8650 0.09094683 0.00175098 0.05096853 0.05254102 0.71245122
8700 0.07311815 0.00090460 0.05305169 0.07221563 0.74669110
8750 0.05183102 0.00157537 0.03300588 0.05272370 0.33468518
8800 0.04251362 0.00123880 0.03743079 0.06715009 0.47193679
8850 0.08634895 0.00119400 0.02112273 0.03836244 0.60303612
8900 0.05595804 0.00266488 0.02654532 0.05422527 0.56038301
8950 0.05624819 0.00184971 0.05373327 0.06991829 0.54615656
9000 0.08086651 0.00338518 0.07361570 0.10171398 0.75242548
9050 0.03768396 0.00094840 0.02420483 0.05639862 0.25564457
9100 0.07007372 0.00130960 0.05049744 0.07524452 0.62760728
9150 0.10020054 0.00159233 0.05227829 0.06129752 0.75491911
9200 0.04093402 0.00069182 0.03780143 0.06025892 0.41067205
9250 0.03039562 0.00145206 0.01631007 0.03258399 0.18222125
