step total noise recon gradient content
5701 0.107911 0.016474 0.078963 0.121273 0.613055
5751 0.106805 0.015997 0.080904 0.127546 0.621180
5801 0.107656 0.015546 0.082573 0.127806 0.622629
5851 0.110334 0.016231 0.081831 0.126120 0.614774
5901 0.109107 0.015874 0.080810 0.124325 0.610967
5951 0.107686 0.016322 0.078346 0.120557 0.598300
6001 0.112692 0.018014 0.078055 0.120831 0.594599
6051 0.113537 0.017784 0.081379 0.125754 0.603986
6101 0.106975 0.016554 0.079689 0.121609 0.594544
6151 0.104892 0.015756 0.078259 0.115884 0.582775
6201 0.104094 0.015006 0.078774 0.122151 0.576902
6251 0.101543 0.014483 0.079120 0.125039 0.590668
6301 0.101432 0.014432 0.078686 0.119251 0.596740
6351 0.102408 0.015753 0.076141 0.114669 0.568280
6401 0.102554 0.016076 0.076486 0.113893 0.563717
6451 0.102925 0.015987 0.075746 0.112877 0.565942
6501 0.104248 0.016073 0.073555 0.110093 0.555527
6551 0.099873 0.014883 0.071723 0.108685 0.532477
6601 0.095668 0.014616 0.071326 0.109463 0.524824
6651 0.097149 0.014244 0.073295 0.113475 0.541717
6701 0.095137 0.013760 0.072254 0.112956 0.533429
6751 0.093424 0.013743 0.072588 0.111642 0.536368
6801 0.093063 0.013367 0.073794 0.109835 0.540868
6851 0.094709 0.014700 0.072251 0.107497 0.526649
6901 0.095171 0.015272 0.070611 0.105545 0.513336
6951 0.093151 0.014363 0.068885 0.103601 0.497926
7001 0.095176 0.014424 0.069005 0.102423 0.499597
7051 0.091560 0.013797 0.068068 0.100534 0.489531
7101 0.087315 0.013662 0.065603 0.101100 0.475836
7151 0.088078 0.013336 0.064756 0.101284 0.481436
7201 0.087379 0.012488 0.066750 0.103027 0.487404
7251 0.085700 0.012098 0.068594 0.103898 0.499321
7301 0.085837 0.012150 0.069122 0.100305 0.504200
7351 0.088084 0.013061 0.068826 0.098746 0.493403
7401 0.086974 0.012952 0.066247 0.098120 0.478881
7451 0.085471 0.012974 0.063382 0.096611 0.462947
7501 0.088033 0.013015 0.063965 0.096358 0.461415
7551 0.086013 0.012270 0.064052 0.094296 0.458619
7601 0.081871 0.012211 0.063083 0.092770 0.450706
7651 0.082207 0.011713 0.063512 0.094869 0.453142
7701 0.080531 0.011061 0.062706 0.096038 0.445885
7751 0.078566 0.010672 0.063924 0.093885 0.455826
7801 0.077572 0.010015 0.064021 0.091329 0.462193
7851 0.078801 0.010526 0.062450 0.091498 0.454101
7901 0.080634 0.011258 0.062305 0.092038 0.451825
7951 0.080992 0.012557 0.060344 0.090553 0.435510
8001 0.083457 0.012867 0.059793 0.088756 0.435102
8051 0.079640 0.010836 0.059144 0.086541 0.427808
8101 0.075895 0.010698 0.058918 0.087136 0.418538
8151 0.076488 0.010708 0.059374 0.087997 0.424898
8201 0.074802 0.010097 0.059457 0.089094 0.421303
8251 0.072686 0.009431 0.060905 0.090624 0.429623
8301 0.071824 0.009358 0.059558 0.087691 0.430193
8351 0.074632 0.010530 0.058372 0.087545 0.422179
8401 0.075940 0.010865 0.058917 0.088534 0.422133
8451 0.075246 0.011342 0.057499 0.086263 0.410130
8501 0.076358 0.011551 0.056285 0.084693 0.400184
8551 0.073967 0.010840 0.055487 0.083682 0.390422
8601 0.070827 0.009998 0.055033 0.083108 0.388504
8651 0.071260 0.009393 0.055993 0.083650 0.397966
8701 0.070885 0.009696 0.055852 0.084084 0.392147
8751 0.068557 0.009522 0.055434 0.083247 0.393319
8801 0.068408 0.008912 0.056370 0.085098 0.404625
8851 0.071296 0.009353 0.056924 0.086415 0.406272
8901 0.071598 0.009679 0.056180 0.083760 0.397748
8951 0.071429 0.010220 0.054801 0.083251 0.387750
9001 0.073256 0.010410 0.053737 0.082774 0.384985
9051 0.070439 0.009530 0.052421 0.080115 0.378368
9101 0.067592 0.009475 0.052712 0.080377 0.376571
9151 0.067842 0.009175 0.053763 0.081655 0.377324
9201 0.066797 0.008751 0.053201 0.081461 0.369965
9251 0.066482 0.008798 0.054421 0.082870 0.381121
9301 0.066031 0.008485 0.054616 0.081219 0.386243
9351 0.067453 0.008868 0.053567 0.079939 0.381198
9401 0.069116 0.009651 0.053677 0.080838 0.380568
9451 0.069431 0.010022 0.053290 0.079495 0.373853
9501 0.071042 0.009984 0.052627 0.078729 0.372393
9551 0.068195 0.009570 0.050958 0.078472 0.363924
9601 0.065808 0.009416 0.050924 0.079288 0.363655
9651 0.066100 0.008878 0.051785 0.079086 0.370645
9701 0.065045 0.008862 0.051010 0.079331 0.366596
9751 0.064185 0.008820 0.051941 0.080063 0.373465
9801 0.064673 0.008374 0.053306 0.079227 0.380581
9851 0.066703 0.008828 0.052985 0.078035 0.374862
9901 0.067391 0.009012 0.052928 0.078753 0.374378
9951 0.067187 0.009456 0.051461 0.077882 0.369357
