step train_loss
1 1.81484678
500 0.24565206
1000 0.24994333
1500 0.24452269
2000 0.19618860
2500 0.23043334
3000 0.18284890
3500 0.17942558
4000 0.18915435
4500 0.13069222
5000 0.16892412
5500 0.11260103
6000 0.12040876
6500 0.10157873
7000 0.10774890
7500 0.08978357
8000 0.09434791
8500 0.08386199
9000 0.08267039
9500 0.06699624
10000 0.07411536
