step train_loss
500 0.284331
1000 0.274341
1500 0.256384
2000 0.197698
2500 0.218415
3000 0.179425
3500 0.194335
4000 0.220096
4500 0.130682
5000 0.143134
5500 0.143815
6000 0.114409
6500 0.110101
7000 0.082984
7500 0.092067
8000 0.090008
8500 0.058096
9000 0.066678
9500 0.073541
10000 0.062992
