step noise recon gradient content_structure content_contrast content_hue content_color_moment source_close_legacy_fraction
1000 0.03795408 0.12076555 0.25537556 0.34754813 0.03945498 0.15830506 0.08853216 0.06250000
1050 0.03050555 0.15798909 0.22077899 0.31610909 0.02400046 0.20385380 0.13684245 0.06250000
1100 0.06237524 0.09174652 0.18980824 0.25282179 0.03607509 0.14316105 0.06904607 0.00000000
1150 0.05395519 0.14087891 0.21318511 0.27060977 0.05060926 0.21019212 0.11784529 0.12500000
1200 0.07454486 0.10123540 0.18621878 0.24231854 0.02739237 0.20661523 0.07366555 0.06250000
1250 0.02918439 0.16660239 0.28412446 0.41219189 0.04251447 0.23535541 0.15831907 0.06250000
1300 0.02665394 0.14618204 0.22546779 0.32886139 0.02860628 0.20182605 0.12584511 0.00000000
1350 0.04540167 0.13750546 0.27551981 0.39542522 0.03790574 0.14573113 0.10484900 0.00000000
1400 0.04176829 0.15937692 0.17810054 0.24816037 0.05097509 0.17994591 0.14826974 0.06250000
1450 0.04619783 0.09755445 0.17161852 0.23814820 0.03734535 0.14373232 0.07545879 0.00000000
1500 0.03781817 0.11767388 0.21939076 0.31113617 0.06494870 0.17081897 0.08107139 0.00000000
1550 0.03286169 0.14232618 0.19809526 0.26925017 0.04102064 0.17956476 0.10646494 0.06250000
1600 0.03661891 0.09265975 0.19585473 0.27348956 0.04394105 0.10066100 0.05390172 0.00000000
1650 0.03412782 0.11026356 0.19496921 0.25769750 0.03323829 0.11192296 0.09403194 0.00000000
1700 0.06642428 0.07851651 0.14480423 0.18905405 0.02083006 0.14570248 0.05955964 0.00000000
1750 0.03320925 0.14240088 0.24159630 0.32282674 0.05648766 0.18772153 0.09037415 0.06250000
1800 0.02039091 0.15690955 0.25104519 0.35085717 0.05439986 0.19354421 0.13395214 0.00000000
1850 0.06433091 0.09615913 0.15863521 0.21151669 0.02156388 0.10406200 0.07249019 0.12500000
1900 0.04235320 0.11140727 0.24062137 0.33646446 0.03093218 0.21056315 0.07437577 0.00000000
1950 0.03522397 0.07955426 0.13350580 0.17278317 0.02383701 0.15837656 0.05890301 0.12500000
2000 0.01942644 0.08800265 0.16546163 0.23123534 0.03586984 0.15663737 0.05830227 0.00000000
2050 0.02035861 0.14121631 0.23932122 0.34646296 0.03753899 0.13054066 0.12561872 0.00000000
2100 0.03548770 0.08128299 0.13869314 0.18742826 0.02908685 0.20561785 0.05715478 0.18750000
2150 0.04654489 0.10883912 0.17167439 0.23437143 0.04560969 0.11928538 0.08297799 0.06250000
2200 0.06584979 0.07757451 0.15443900 0.21711358 0.03202448 0.11672229 0.04854869 0.06250000
2250 0.02713146 0.11056457 0.20850575 0.30131838 0.02811412 0.25919352 0.08025850 0.06250000
2300 0.03981720 0.13734483 0.22341126 0.30805597 0.04133144 0.15631666 0.10804399 0.00000000
2350 0.06677287 0.11745973 0.20784880 0.29656857 0.02967350 0.13369949 0.08815220 0.06250000
2400 0.01691340 0.14526830 0.26334894 0.35922084 0.03759589 0.20088061 0.11643832 0.06250000
2450 0.03891517 0.08219543 0.16261394 0.22365374 0.02912707 0.15656685 0.05177193 0.12500000
2500 0.02629101 0.08932128 0.17420723 0.23893401 0.04117569 0.10374929 0.05504075 0.06250000
2550 0.02153851 0.11973833 0.17549632 0.26022406 0.03920358 0.21237113 0.09721293 0.00000000
2600 0.03276978 0.07771310 0.16898062 0.24191423 0.02810333 0.17813179 0.04699325 0.00000000
2650 0.03985942 0.09669443 0.17310162 0.23693344 0.01598729 0.08107999 0.08052342 0.00000000
2700 0.04728147 0.08040907 0.11912544 0.15496924 0.03052360 0.05202090 0.05773629 0.06250000
2750 0.02928513 0.11254344 0.17991069 0.24581312 0.03455030 0.17308254 0.09081295 0.00000000
2800 0.02775575 0.15971847 0.24333775 0.35168436 0.02434612 0.15324795 0.13713443 0.06250000
2850 0.03904876 0.11373934 0.19252318 0.25313900 0.01656104 0.11922345 0.09237909 0.06250000
2900 0.02603936 0.09606388 0.17706361 0.23590884 0.02793952 0.09623017 0.05775526 0.12500000
2950 0.04234633 0.07333721 0.15067737 0.21048139 0.03052604 0.11094774 0.04218084 0.00000000
3000 0.01506145 0.08322490 0.17458926 0.24327868 0.02809298 0.15400440 0.05695004 0.06250000
3050 0.02253217 0.10703146 0.20294496 0.26772280 0.03674302 0.12836490 0.06536821 0.12500000
3100 0.02743594 0.06651714 0.14478620 0.21073707 0.03213292 0.06803714 0.04665934 0.00000000
3150 0.03262431 0.07863279 0.14047153 0.18599156 0.03699313 0.10739727 0.04937303 0.06250000
3200 0.06692161 0.05876116 0.09951282 0.13116487 0.02720263 0.10467849 0.03196159 0.12500000
3250 0.02348783 0.12325120 0.20474923 0.27548556 0.02473423 0.25877414 0.09693897 0.06250000
3300 0.03118661 0.11030050 0.16799312 0.21857690 0.01840280 0.18746664 0.07248624 0.06250000
3350 0.04295032 0.12626601 0.14962606 0.22123722 0.04781399 0.22976729 0.10849476 0.06250000
3400 0.01736885 0.10262955 0.15353783 0.21013536 0.01648189 0.10985500 0.09175495 0.06250000
3450 0.03356284 0.07161472 0.12547151 0.16508493 0.02003031 0.07526995 0.05153348 0.06250000
3500 0.01901962 0.08562436 0.15714717 0.21444510 0.01899218 0.10995522 0.06091994 0.06250000
3550 0.01365757 0.09157797 0.15894554 0.23090829 0.03563005 0.13348548 0.06844593 0.00000000
3600 0.04203574 0.07594945 0.12501646 0.17433793 0.02395674 0.08889432 0.06718773 0.00000000
3650 0.03883110 0.08282720 0.15463457 0.20770494 0.03278241 0.14089738 0.04545872 0.06250000
3700 0.05086266 0.08612860 0.14286050 0.21246070 0.04308043 0.09249737 0.07260183 0.00000000
3750 0.01561444 0.10702075 0.15360269 0.19376013 0.02740191 0.12710018 0.08059819 0.18750000
3800 0.01707859 0.12882665 0.16234383 0.23167505 0.03110367 0.18948624 0.11368135 0.00000000
3850 0.02734217 0.09999853 0.11310858 0.16372089 0.04604166 0.11968696 0.09132710 0.06250000
3900 0.02644739 0.10260868 0.18104733 0.25194650 0.03859123 0.15844516 0.07370002 0.00000000
3950 0.02798320 0.06971586 0.13429355 0.17676204 0.02270067 0.07548628 0.04443046 0.12500000
4000 0.01609837 0.07937497 0.13935149 0.19228697 0.02950364 0.19918263 0.05142424 0.00000000
4050 0.01273832 0.09722285 0.16231184 0.23756289 0.03713380 0.08414595 0.07026147 0.00000000
4100 0.02746123 0.06852593 0.10276116 0.13714609 0.01382503 0.04823823 0.05514534 0.06250000
4150 0.03849878 0.07748099 0.14483033 0.19456115 0.02130253 0.09205015 0.05369058 0.06250000
4200 0.03334814 0.05845518 0.09067325 0.12780655 0.01979181 0.09517463 0.04106253 0.06250000
4250 0.02064940 0.11802180 0.17890553 0.27085184 0.02692807 0.13309409 0.09410305 0.00000000
4300 0.01458239 0.09812677 0.13082957 0.18478798 0.03073819 0.15410447 0.08779106 0.06250000
4350 0.05503046 0.10299375 0.17524189 0.22599048 0.02112972 0.16218672 0.07601764 0.00000000
4400 0.01914414 0.09793022 0.15869791 0.22378974 0.02361952 0.13754879 0.08241795 0.06250000
4450 0.02409283 0.07136546 0.13245406 0.18565453 0.02222248 0.10512800 0.05367176 0.06250000
4500 0.01157620 0.06319064 0.11386782 0.15077771 0.01762206 0.07483673 0.03813506 0.06250000
4550 0.01489092 0.10220345 0.11139766 0.15236915 0.03905535 0.09926992 0.08711869 0.06250000
4600 0.02751801 0.05702341 0.10440734 0.14212549 0.01610112 0.06394954 0.03146037 0.06250000
4650 0.02924719 0.07494313 0.13989810 0.19013630 0.01813748 0.09058211 0.05651781 0.00000000
4700 0.02086276 0.06458237 0.10676592 0.14747030 0.01479867 0.05971624 0.05071118 0.06250000
4750 0.02635893 0.08037126 0.13777219 0.17334438 0.01998495 0.10756923 0.05261281 0.12500000
4800 0.01657060 0.15073743 0.18211813 0.25781837 0.07852374 0.21007367 0.15072459 0.00000000
4850 0.04080150 0.11419571 0.12478483 0.17512751 0.02364437 0.15768263 0.10415232 0.06250000
4900 0.01495670 0.08719678 0.12828630 0.17660990 0.03271770 0.10716286 0.06883617 0.25000000
4950 0.02881078 0.06449126 0.11696120 0.15501773 0.02235278 0.09079235 0.03927677 0.06250000
5000 0.01725328 0.08330384 0.14070321 0.20150156 0.03105416 0.06249596 0.06370427 0.06250000
5050 0.01092697 0.07784416 0.12576592 0.17052508 0.01964731 0.12520386 0.05848881 0.06250000
5100 0.03366328 0.05607297 0.09603099 0.13201319 0.01783652 0.05645099 0.04034961 0.00000000
5150 0.02208960 0.07598342 0.13547965 0.17929669 0.01910898 0.08339179 0.05428192 0.12500000
5200 0.03969910 0.06935033 0.11266197 0.14895152 0.01706384 0.10397857 0.05249970 0.06250000
5250 0.01532555 0.09915494 0.17323890 0.24606737 0.01492176 0.11638224 0.07486934 0.06250000
5300 0.01162188 0.11074039 0.15703598 0.21530288 0.01896024 0.11823097 0.09405720 0.00000000
5350 0.02498307 0.10458396 0.18069007 0.26861087 0.01102694 0.09050856 0.09057813 0.00000000
5400 0.01478306 0.09298777 0.13721403 0.18212660 0.02256123 0.11070876 0.08335792 0.06250000
5450 0.02558284 0.07427599 0.11453513 0.15966943 0.01887383 0.07468746 0.05851503 0.00000000
5500 0.01795645 0.07396608 0.14768495 0.20710917 0.02012584 0.07200448 0.04164568 0.00000000
5550 0.01493435 0.09542430 0.13186388 0.19459475 0.02745570 0.06573274 0.06645543 0.06250000
5600 0.01900352 0.06387113 0.11213114 0.15855650 0.02777193 0.04556365 0.03667029 0.00000000
5650 0.01724886 0.07423162 0.11101386 0.15050136 0.01446490 0.05623813 0.06192554 0.00000000
5700 0.03830604 0.05518591 0.08266459 0.11740015 0.02127715 0.07089594 0.04482226 0.00000000
5750 0.01804167 0.08274578 0.13067171 0.16634296 0.01672773 0.10746173 0.05499155 0.06250000
5800 0.01196373 0.13974075 0.15709853 0.22505914 0.02451050 0.10614831 0.13198213 0.00000000
5850 0.03237477 0.06369072 0.09532420 0.12022306 0.01308240 0.07656495 0.04740988 0.12500000
5900 0.02434426 0.07547452 0.13730961 0.19386331 0.01541266 0.10710798 0.05691206 0.00000000
5950 0.01869210 0.04924304 0.07920044 0.10295870 0.01303969 0.04547409 0.03559282 0.12500000
6000 0.01079818 0.06126991 0.10204768 0.14323392 0.02477083 0.06647976 0.04519196 0.00000000
6050 0.00839442 0.08458392 0.11207992 0.15686654 0.02210440 0.09185600 0.07315898 0.00000000
6100 0.01898420 0.05062070 0.09092708 0.11947012 0.00993920 0.04606205 0.02923323 0.18750000
6150 0.02984946 0.06351026 0.11267773 0.14188450 0.01487074 0.07479617 0.04453186 0.06250000
6200 0.03890413 0.06096518 0.10034172 0.13844442 0.01558948 0.05726130 0.04590707 0.06250000
6250 0.01595678 0.08377169 0.14410703 0.20635276 0.01737566 0.13740851 0.06499597 0.06250000
6300 0.02646982 0.08654976 0.11864965 0.16366989 0.02529188 0.11572533 0.06713427 0.00000000
6350 0.03868385 0.08446964 0.10053078 0.13714819 0.01038392 0.09052747 0.07441176 0.06250000
6400 0.00722884 0.08492880 0.12616201 0.17340684 0.02379267 0.13111996 0.06208720 0.06250000
6450 0.02206692 0.05800299 0.09879111 0.13305454 0.01847590 0.08339617 0.04238865 0.12500000
6500 0.01215472 0.05938715 0.10194643 0.13581682 0.01475363 0.05139012 0.04100458 0.06250000
6550 0.00842534 0.07235413 0.11329110 0.16846034 0.01558672 0.07347719 0.05817446 0.00000000
6600 0.01785193 0.04342015 0.08323125 0.11331453 0.01782035 0.06477883 0.02767317 0.00000000
6650 0.02605190 0.05521584 0.10108911 0.13464210 0.00976104 0.05529828 0.04226043 0.00000000
6700 0.02956627 0.05589538 0.08482949 0.11492481 0.01339587 0.03056217 0.04111262 0.06250000
6750 0.01358390 0.07084742 0.10642456 0.14462053 0.02358289 0.09369703 0.05839238 0.00000000
6800 0.01159994 0.10153884 0.13515835 0.20315713 0.00647932 0.08896953 0.09101557 0.06250000
6850 0.02247962 0.08086343 0.12996552 0.17463337 0.00963132 0.07881140 0.06933190 0.06250000
6900 0.01111136 0.05402573 0.07851653 0.09749919 0.01156624 0.03967840 0.03259837 0.12500000
6950 0.02204066 0.05005166 0.08713145 0.11878114 0.01103493 0.05657688 0.03706674 0.00000000
7000 0.00508126 0.04697122 0.07913445 0.10139275 0.01111241 0.06272750 0.03543765 0.06250000
7050 0.00793375 0.07494926 0.08174731 0.10574591 0.02293878 0.06841511 0.05213815 0.12500000
7100 0.01557632 0.04215885 0.07469043 0.10461163 0.01125294 0.04454900 0.03088395 0.00000000
7150 0.01801951 0.04876672 0.07876036 0.10043238 0.00999738 0.05395506 0.03172770 0.06250000
7200 0.03237083 0.04052260 0.06761059 0.08777981 0.00878934 0.04306882 0.02565353 0.12500000
7250 0.01376730 0.07025000 0.11833644 0.15767149 0.01258657 0.07687201 0.04992579 0.06250000
7300 0.01560311 0.07967507 0.08635396 0.11137518 0.00959123 0.08562043 0.06720781 0.06250000
7350 0.01761050 0.07957813 0.09834937 0.12219360 0.01302841 0.11229153 0.06509246 0.06250000
7400 0.00735206 0.06350564 0.08963190 0.12167228 0.01171270 0.05085218 0.05543554 0.06250000
7450 0.01215393 0.04197202 0.06605521 0.08209763 0.00755581 0.04063116 0.03127782 0.06250000
7500 0.00638825 0.05190932 0.08582213 0.11611773 0.01008282 0.06711066 0.04046391 0.06250000
7550 0.00351315 0.05692735 0.08492426 0.11987846 0.01104149 0.07534600 0.04799232 0.00000000
7600 0.02176197 0.03333219 0.06242972 0.08399745 0.00812292 0.04121116 0.02268117 0.00000000
7650 0.02043975 0.04610255 0.08378677 0.10756550 0.00991095 0.06612421 0.03251792 0.06250000
7700 0.03113394 0.05924238 0.08311302 0.11905191 0.01237789 0.04316868 0.05032384 0.00000000
7750 0.00816373 0.05766916 0.08471800 0.10408776 0.01083733 0.07146695 0.04468746 0.18750000
7800 0.00726859 0.08817989 0.09786954 0.14130683 0.01694191 0.11889836 0.08406062 0.00000000
7850 0.01300820 0.06220782 0.09549658 0.12712212 0.01039938 0.06557642 0.04939171 0.06250000
7900 0.00970866 0.05845351 0.08003066 0.10608881 0.01506346 0.07636050 0.04595437 0.00000000
7950 0.01044468 0.04176175 0.07802052 0.09777845 0.00668650 0.03524487 0.02750157 0.12500000
8000 0.00457632 0.03576348 0.07166793 0.09392315 0.00753994 0.07987152 0.02357206 0.00000000
8050 0.00431620 0.06355673 0.08150743 0.11900189 0.01127448 0.05540418 0.05612866 0.00000000
8100 0.01423900 0.03571526 0.05861927 0.07683275 0.00620854 0.02997742 0.02701741 0.06250000
8150 0.02178907 0.04828212 0.08157065 0.10555002 0.00855623 0.04477030 0.03911406 0.06250000
8200 0.01646383 0.03995009 0.06498893 0.09163064 0.00848843 0.04141684 0.03119259 0.06250000
8250 0.00939225 0.07337809 0.11182486 0.15271022 0.00895618 0.07594295 0.05915260 0.00000000
8300 0.00650044 0.07019119 0.08433810 0.12037646 0.02052925 0.08835010 0.06769310 0.06250000
8350 0.02999203 0.06431430 0.10110048 0.13155961 0.00724478 0.09030836 0.05006947 0.00000000
8400 0.00718428 0.04520424 0.08754359 0.12328778 0.00852779 0.03413897 0.03154299 0.06250000
8450 0.00760242 0.03930634 0.06875927 0.08705273 0.00619822 0.04929168 0.02838119 0.06250000
8500 0.00352118 0.03487338 0.06128720 0.07728235 0.00573636 0.03304640 0.02388213 0.06250000
8550 0.00512138 0.06430139 0.07305454 0.09816800 0.01418022 0.04964335 0.05575103 0.06250000
8600 0.01086530 0.03121965 0.05420799 0.06713635 0.00512535 0.03339686 0.02007990 0.06250000
8650 0.01993936 0.04418652 0.07718101 0.10200032 0.00796272 0.04954959 0.03333022 0.00000000
8700 0.01464121 0.05122567 0.06865740 0.09679620 0.00779412 0.03118892 0.04228787 0.06250000
8750 0.00952859 0.05116528 0.07996296 0.09933058 0.00871908 0.06922671 0.03663901 0.12500000
8800 0.00752079 0.10529879 0.14895271 0.20705820 0.02310393 0.14600053 0.08514920 0.00000000
8850 0.02490860 0.07658221 0.10754074 0.14354310 0.01331605 0.05792906 0.06662194 0.06250000
8900 0.00651601 0.05386290 0.07741143 0.09583682 0.00951660 0.03938734 0.04097388 0.25000000
8950 0.01354443 0.03637375 0.07445198 0.09626849 0.00752840 0.03308500 0.02315567 0.06250000
9000 0.00530547 0.03601434 0.06748988 0.08769525 0.00947289 0.03387886 0.02383053 0.06250000
9050 0.00371607 0.04601285 0.07056838 0.09565280 0.00746776 0.08140103 0.03786451 0.06250000
9100 0.01695835 0.02928982 0.05485795 0.07211839 0.00515801 0.03495477 0.02049852 0.00000000
9150 0.00962739 0.03676205 0.07207278 0.08670557 0.00449363 0.05472236 0.02172534 0.12500000
9200 0.02480828 0.04604218 0.07557937 0.09859649 0.00635947 0.06951097 0.03809633 0.06250000
9250 0.00823139 0.06347041 0.12111168 0.18133919 0.00689980 0.06496260 0.04995762 0.06250000
9300 0.00562300 0.06868958 0.09476919 0.12545728 0.01456894 0.09571630 0.06026736 0.00000000
9350 0.01296522 0.07465531 0.08793637 0.11621930 0.01324315 0.06440567 0.06816023 0.00000000
9400 0.00532320 0.05459194 0.08598614 0.10925079 0.00875164 0.05704276 0.04215635 0.06250000
9450 0.00739604 0.03439408 0.06614886 0.08679369 0.00596023 0.04207618 0.02474285 0.00000000
9500 0.00707798 0.04096527 0.07409753 0.09516904 0.00737703 0.04688016 0.02640718 0.00000000
9550 0.00682375 0.06910171 0.09131273 0.12199367 0.00921172 0.04868771 0.04706552 0.06250000
9600 0.00768340 0.03191316 0.05789890 0.07468507 0.00609751 0.02681786 0.02017012 0.00000000
9650 0.00865484 0.04395302 0.07802481 0.10271890 0.00855863 0.03847622 0.03441167 0.00000000
9700 0.02084902 0.03978422 0.05031410 0.06818181 0.01125995 0.05455402 0.03405853 0.00000000
9750 0.00953233 0.05238634 0.07596687 0.09281113 0.00933090 0.07150634 0.03726057 0.06250000
9800 0.00583495 0.09897378 0.12893615 0.17018801 0.01166754 0.07797341 0.09274266 0.00000000
9850 0.02191108 0.04804382 0.06118494 0.07863420 0.00962406 0.07071016 0.03982644 0.12500000
9900 0.01248810 0.05049789 0.08653548 0.11301593 0.00543205 0.05435664 0.04013951 0.00000000
9950 0.00783985 0.03486775 0.05230326 0.06398097 0.00616632 0.03319046 0.02690836 0.12500000
10000 0.00349914 0.03672282 0.06313589 0.08436615 0.00860942 0.03510370 0.02819927 0.00000000
