step train_loss
500 0.307475
1000 0.158456
1500 0.150919
2000 0.129313
2500 0.128867
3000 0.110350
3500 0.101513
4000 0.100328
4500 0.095988
5000 0.082158
5500 0.076399
6000 0.067709
6500 0.060634
7000 0.056826
7500 0.052213
8000 0.049425
8500 0.044700
9000 0.042181
9500 0.040824
10000 0.040070
