step loss noise_loss recon_loss gradient_loss content_loss
4800 0.05738692 0.00635823 0.09537851 0.12197986 0.68705944
4850 0.05878124 0.01087127 0.08935260 0.11590748 0.33130304
4900 0.03138112 0.00526114 0.05397648 0.06779015 0.19129346
4950 0.06176198 0.00600507 0.04000963 0.04339335 0.14603685
5000 0.05326478 0.00433803 0.04384895 0.05017943 0.14856832
5050 0.05544062 0.00306763 0.05915320 0.08154311 0.17317317
5100 0.06663376 0.01296170 0.03402039 0.06120708 0.30726504
5150 0.05535903 0.01395276 0.04924192 0.06902955 0.18556775
5200 0.06826288 0.01917204 0.04280664 0.05265127 0.34893481
5250 0.03969651 0.00690609 0.04514336 0.05950399 0.19589361
5300 0.04934637 0.00525652 0.08171731 0.09415800 0.62017952
5350 0.05519743 0.00889828 0.09436576 0.10512682 0.33534393
5400 0.03009192 0.00434467 0.04644835 0.06198641 0.14635703
5450 0.05643079 0.00516939 0.03491393 0.03698115 0.13899143
5500 0.04498154 0.00359930 0.03765361 0.03920977 0.12346352
5550 0.05398940 0.00292122 0.05951807 0.07617520 0.16815717
5600 0.06273400 0.01113780 0.03450393 0.05122910 0.29523747
5650 0.05009123 0.01262571 0.04370956 0.06274049 0.14926221
5700 0.06208062 0.01570463 0.04145872 0.05481929 0.32686311
5750 0.03787031 0.00614413 0.04435503 0.05481006 0.18488845
5800 0.05071023 0.00496345 0.09359625 0.09508236 0.63692340
5850 0.04798462 0.00819566 0.09973417 0.05647363 0.31722688
5900 0.03286754 0.00473480 0.05479428 0.06026746 0.19942243
5950 0.05335864 0.00446762 0.03149311 0.03448518 0.13629447
6000 0.04006691 0.00291468 0.03345267 0.03619348 0.10723955
6050 0.04979011 0.00252596 0.05948962 0.06363599 0.14755486
6100 0.05659144 0.00933095 0.02917194 0.04055848 0.28992039
6150 0.04273541 0.00925978 0.04057815 0.05827998 0.14592756
6200 0.05646182 0.01306763 0.03790796 0.05223786 0.31237512
6250 0.03175387 0.00492860 0.03754772 0.05157782 0.14398630
6300 0.04755900 0.00437127 0.08848664 0.08898414 0.64761034
6350 0.04612367 0.00616969 0.08173359 0.09975633 0.29176438
6400 0.02509778 0.00320300 0.04623440 0.05179408 0.15410613
6450 0.05287415 0.00405211 0.03110762 0.03693947 0.13664382
6500 0.03741194 0.00254204 0.03167917 0.03262831 0.10005430
6550 0.05014950 0.00242646 0.05675869 0.06972477 0.14368284
6600 0.05473443 0.00825184 0.02878356 0.04038237 0.26252339
6650 0.04188746 0.00779480 0.04703327 0.05587338 0.14042353
6700 0.05167155 0.01050499 0.03880038 0.04218957 0.30477882
6750 0.02750844 0.00358834 0.03668403 0.04860422 0.13132778
6800 0.04497379 0.00347470 0.08064951 0.09467348 0.61617333
6850 0.04344545 0.00620507 0.07939013 0.08966128 0.26498347
6900 0.02193154 0.00263758 0.04108384 0.04736151 0.13655898
6950 0.04866831 0.00324946 0.02683015 0.03547688 0.12991163
7000 0.03680082 0.00235576 0.03124245 0.03344028 0.09222393
7050 0.04282026 0.00212559 0.05051641 0.05693370 0.13774523
7100 0.05046119 0.00629744 0.02549080 0.03645437 0.23328018
7150 0.03505647 0.00631426 0.03905673 0.05097016 0.12069876
7200 0.04911974 0.00938241 0.03626649 0.04144562 0.29550101
7250 0.02550529 0.00300864 0.03293017 0.04598816 0.10590566
7300 0.04052572 0.00269878 0.07016350 0.08592996 0.53842143
7350 0.04296095 0.00495176 0.07604707 0.09238821 0.24538422
7400 0.02096027 0.00239283 0.04390413 0.04603090 0.14281639
7450 0.04775542 0.00307937 0.02775357 0.03101558 0.12875323
7500 0.03508096 0.00187081 0.02737028 0.03354061 0.09661983
7550 0.04085574 0.00178239 0.05075725 0.05014353 0.12314190
7600 0.04880661 0.00568566 0.02177429 0.03591720 0.24137007
7650 0.03118618 0.00542506 0.03497328 0.05460656 0.13220027
7700 0.04563054 0.00809757 0.03279095 0.03714502 0.27332646
7750 0.02500485 0.00260657 0.03398714 0.04519987 0.11408228
7800 0.04106050 0.00224825 0.06797915 0.09824158 0.55552186
7850 0.03639153 0.00431369 0.06781561 0.07462334 0.19696590
7900 0.01955041 0.00204976 0.04077098 0.04565351 0.14177064
7950 0.04507353 0.00264626 0.02409679 0.03214683 0.12479570
8000 0.03225754 0.00166924 0.02610468 0.02918357 0.08714317
8050 0.03901816 0.00144862 0.04653661 0.05350944 0.10907971
