step lr
1 3.05400000e-05
101 8.45400000e-05
201 1.38540000e-04
301 1.92540000e-04
401 2.46540000e-04
501 2.99999992e-04
601 2.99916619e-04
701 2.99669862e-04
801 2.99259989e-04
901 2.98687450e-04
1001 2.97952869e-04
1101 2.97057052e-04
1201 2.96000976e-04
1301 2.94785797e-04
1401 2.93412844e-04
1501 2.91883617e-04
1601 2.90199790e-04
1701 2.88363203e-04
1801 2.86375864e-04
1901 2.84239948e-04
2001 2.81957788e-04
2101 2.79531882e-04
2201 2.76964881e-04
2301 2.74259592e-04
2401 2.71418975e-04
2501 2.68446134e-04
2601 2.65344321e-04
2701 2.62116927e-04
2801 2.58767481e-04
2901 2.55299647e-04
3001 2.51717216e-04
3101 2.48024106e-04
3201 2.44224354e-04
3301 2.40322116e-04
3401 2.36321659e-04
3501 2.32227357e-04
3601 2.28043687e-04
3701 2.23775225e-04
3801 2.19426637e-04
3901 2.15002679e-04
4001 2.10508188e-04
4101 2.05948079e-04
4201 2.01327339e-04
4301 1.96651019e-04
4401 1.91924234e-04
4501 1.87152152e-04
4601 1.82339992e-04
4701 1.77493015e-04
4801 1.72616522e-04
4901 1.67715844e-04
5001 1.62796342e-04
5101 1.57863393e-04
5201 1.52922393e-04
5301 1.47978743e-04
5401 1.43037851e-04
5501 1.38105119e-04
5601 1.33185940e-04
5701 1.28285694e-04
5801 1.23409738e-04
5901 1.18563406e-04
6001 1.13751996e-04
6101 1.08980769e-04
6201 1.04254943e-04
6301 9.95796850e-05
6401 9.49601078e-05
6501 9.04012626e-05
6601 8.59081345e-05
6701 8.14856367e-05
6801 7.71386051e-05
6901 7.28717931e-05
7001 6.86898664e-05
7101 6.45973978e-05
7201 6.05988625e-05
7301 5.66986328e-05
7401 5.29009735e-05
7501 4.92100373e-05
7601 4.56298602e-05
7701 4.21643570e-05
7801 3.88173173e-05
7901 3.55924010e-05
8001 3.24931344e-05
8101 2.95229066e-05
8201 2.66849655e-05
8301 2.39824143e-05
8401 2.14182082e-05
8501 1.89951511e-05
8601 1.67158927e-05
8701 1.45829253e-05
8801 1.25985811e-05
8901 1.07650302e-05
9001 9.08427736e-06
9101 7.55816056e-06
9201 6.18834856e-06
9301 4.97633924e-06
9401 3.92345790e-06
9501 3.03085585e-06
9601 2.29950916e-06
9701 1.73021752e-06
9801 1.32360345e-06
9901 1.08011159e-06
