step total noise recon gradient content
5701 0.092410 0.005885 0.061304 0.088381 0.653356
5751 0.090336 0.005336 0.058221 0.087811 0.639751
5801 0.088606 0.004815 0.056505 0.086022 0.636184
5851 0.087699 0.004778 0.058962 0.089816 0.651290
5901 0.084912 0.004611 0.057262 0.088937 0.633495
5951 0.083906 0.004635 0.054496 0.083321 0.608413
6001 0.086551 0.005369 0.055948 0.083602 0.612712
6051 0.088293 0.005436 0.056482 0.082132 0.621697
6101 0.087491 0.004697 0.056727 0.081991 0.630863
6151 0.085978 0.004570 0.056616 0.081152 0.620835
6201 0.085216 0.004632 0.055011 0.080131 0.611492
6251 0.085814 0.004340 0.054362 0.082066 0.612626
6301 0.086591 0.004159 0.055097 0.083746 0.619343
6351 0.083250 0.004114 0.056273 0.085485 0.624441
6401 0.080221 0.003938 0.053940 0.082329 0.606475
6451 0.081610 0.004460 0.051573 0.076334 0.591418
6501 0.083358 0.004752 0.052159 0.076513 0.597681
6551 0.081830 0.004179 0.051092 0.076934 0.595819
6601 0.082294 0.004040 0.052769 0.078089 0.604208
6651 0.083931 0.004421 0.054613 0.078949 0.609785
6701 0.083396 0.004567 0.053441 0.076968 0.598852
6751 0.083853 0.004422 0.051845 0.079292 0.590863
6801 0.081117 0.004087 0.049940 0.077031 0.586876
6851 0.079370 0.003748 0.051749 0.075793 0.604333
6901 0.078599 0.003490 0.050361 0.075547 0.590834
6951 0.076908 0.003516 0.046040 0.071542 0.560914
7001 0.078005 0.003666 0.047366 0.071890 0.563335
7051 0.077076 0.003392 0.047326 0.070616 0.564823
7101 0.076307 0.003254 0.046556 0.071048 0.564633
7151 0.078589 0.003588 0.048585 0.074832 0.574203
7201 0.078503 0.003539 0.048824 0.073144 0.576179
7251 0.077008 0.003169 0.047267 0.069474 0.563604
7301 0.076460 0.003142 0.047269 0.069589 0.566342
7351 0.076634 0.003266 0.050677 0.074676 0.591120
7401 0.075158 0.003181 0.047665 0.072976 0.576229
7451 0.073692 0.003089 0.043623 0.070190 0.548438
7501 0.075510 0.003176 0.045581 0.070667 0.560166
7551 0.075745 0.002996 0.045242 0.068501 0.563444
7601 0.073489 0.002692 0.044364 0.068055 0.549492
7651 0.073328 0.002787 0.044693 0.066728 0.547992
7701 0.074544 0.002913 0.045744 0.067239 0.550867
7751 0.073358 0.002837 0.044572 0.066911 0.541960
7801 0.072038 0.002753 0.042893 0.065679 0.541450
7851 0.071956 0.002598 0.045432 0.070098 0.556916
7901 0.071225 0.002499 0.044630 0.069725 0.546469
7951 0.069201 0.002552 0.041166 0.065779 0.524446
8001 0.069818 0.002577 0.041367 0.065584 0.531770
8051 0.071467 0.002406 0.042152 0.063808 0.536995
8101 0.069497 0.002314 0.042211 0.063328 0.526125
8151 0.068553 0.002468 0.041592 0.062947 0.523865
8201 0.069188 0.002479 0.041006 0.062562 0.526744
8251 0.069242 0.002345 0.040025 0.063243 0.521917
8301 0.070038 0.002383 0.040908 0.063407 0.529002
8351 0.069419 0.002341 0.043003 0.066452 0.543993
8401 0.067141 0.002077 0.041110 0.066123 0.532130
8451 0.066535 0.002128 0.038232 0.062389 0.510012
8501 0.067639 0.002296 0.039143 0.063524 0.512746
8551 0.067517 0.002139 0.039056 0.063422 0.516241
8601 0.066213 0.002079 0.037496 0.061501 0.507093
8651 0.066960 0.002150 0.038344 0.060570 0.513422
8701 0.067043 0.002151 0.038385 0.060838 0.513869
8751 0.066258 0.002041 0.036334 0.061852 0.505906
8801 0.066804 0.002018 0.036778 0.061506 0.511080
8851 0.066656 0.002014 0.039106 0.062767 0.527749
8901 0.065319 0.001852 0.037312 0.063035 0.519836
8951 0.064589 0.001895 0.034790 0.060084 0.497385
9001 0.065006 0.002074 0.035248 0.058605 0.499758
9051 0.065097 0.002042 0.035798 0.058407 0.500496
9101 0.063968 0.001936 0.035640 0.058387 0.490922
9151 0.064814 0.002002 0.036530 0.058880 0.502002
9201 0.066583 0.002017 0.036956 0.060799 0.511242
9251 0.065429 0.001950 0.035151 0.060403 0.497256
9301 0.064450 0.001947 0.035486 0.058599 0.497704
9351 0.063890 0.001895 0.037973 0.060906 0.513760
9401 0.063406 0.001774 0.036119 0.060559 0.508870
9451 0.062908 0.001756 0.033602 0.058507 0.493286
9501 0.063580 0.001808 0.034634 0.058755 0.495686
9551 0.064468 0.001784 0.035178 0.059124 0.493624
9601 0.063023 0.001742 0.034880 0.058970 0.485879
9651 0.063946 0.001946 0.035067 0.058785 0.496054
9701 0.065447 0.002032 0.035432 0.059503 0.502176
9751 0.064618 0.001823 0.033773 0.058093 0.488559
9801 0.065052 0.001750 0.034758 0.058271 0.490397
9851 0.064852 0.001749 0.037673 0.062047 0.507164
9901 0.063388 0.001758 0.035878 0.060807 0.497140
9951 0.063516 0.001845 0.034303 0.058724 0.483954
